,Address,Area,Baths,Beds,City,Half-Baths,Price
0,11826 Cypress Hill Circle,960 sq. ft,Baths 1 bath,Beds 2 beds,Tampa FL 33626,1 half bath,"$115,000"
1,2880 Somerset Park Drive 103,742 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33613,,"$74,900"
2,2880 Somerset Park Drive 103,742 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33613,,"$74,900"
3,412 Westland Ave S # 4,"1,652 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33606,1 half bath,"$395,000"
4,2943 W Bayshore Court,"2,996 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33611,1 half bath,"$850,000"
5,22 Hamilton Heath Drive,"2,533 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33604,1 half bath,"$599,999"
6,11912 Keating Drive,"2,466 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$530,000"
7,11912 Keating Drive,"2,466 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$530,000"
8,14520 Mirasol Manor Court,"2,670 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$529,900"
9,14520 Mirasol Manor Court,"2,670 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$529,900"
10,2217 Shadehill Court,"2,400 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33612,1 half bath,"$495,000"
11,20215 Regal Fern Court,"3,956 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33647,,"$490,000"
12,,"2,911 sq. ft",Baths 2 baths,Beds 4 beds,,1 half bath,"$474,490"
13,6201 Bayshore Boulevard,"1,103 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33611,,"$450,000"
14,7101 S Sparkman Street,"2,310 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33616,1 half bath,"$422,500"
15,606 Tropical Breeze Way,"1,521 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33602,,"$410,000"
16,4510 W Fig Street B,"2,207 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33609,1 half bath,"$399,999"
17,7130 Wareham Drive,"2,553 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$375,000"
18,7130 Wareham Drive,"2,553 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$375,000"
19,4309 Northpark Drive,"2,012 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33624,1 half bath,"$375,000"
20,2010 E Palm Avenue 14207,618 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33605,,"$115,000"
21,1616 E Linden Avenue,928 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33604,,"$89,000"
22,13618 North Florida Avenue 100,,Baths 1 bath,Beds 1 bed,Tampa FL 33613,,"$6,500"
23,16305  Avila Blvd,"5,336 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33613,1 half bath,"$1,125,000"
24,4810 McElroy Ave W # 32,"1,912 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33611,1 half bath,"$525,000"
25,3210 Marcellus Cir,"1,300 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33609,1 half bath,"$310,000"
26,4105 Bay Court Ave W,"1,332 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33611,,"$259,900"
27,5006  Landsman Ave,,,,Tampa FL 33625,,"$230,000"
28,8905 N. Locust Ave.,875 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33604,,"$149,000"
29,12317 Ashville Drive,"2,619 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$525,000"
30,5916 Trevors Way,"3,405 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33625,1 half bath,"$519,000"
31,13109 Wister Lane,"2,400 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33612,1 half bath,"$324,900"
32,10604 Liberty Bell Drive,"2,516 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$264,900"
33,207 Deer Park Avenue,"1,501 sq. ft",Baths 2 baths,Beds 3 beds,Temple Terrace FL 33617,,"$219,000"
34,3401 S Almeria Avenue,"2,329 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33629,1 half bath,"$1,299,000"
35,2802 Northpointe Lane,"3,762 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33611,1 half bath,"$1,250,000"
36,450 Knights Run Avenue 417,"2,367 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33602,1 half bath,"$1,250,000"
37,4704 W Leona Street,"2,674 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,,"$575,000"
38,4704 W Leona Street,"2,674 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,,"$575,000"
39,,"2,115 sq. ft",Baths 2 baths,Beds 3 beds,,1 half bath,"$540,000"
40,2442 W Mississippi Avenue Unit 9,"2,538 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33629,1 half bath,"$709,000"
41,2442 W Mississippi Avenue Unit 10,"2,538 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33629,1 half bath,"$709,000"
42,5823 Bowen Daniel Drive 1203,"2,000 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33616,,"$689,000"
43,5313 Rawls Road,"3,100 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33625,1 half bath,"$629,999"
44,9148 Highland Ridge Way,"3,010 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33647,,"$500,000"
45,,"3,564 sq. ft",,,,,"$450,000"
46,345 Bayshore Boulevard 1102,"1,240 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33606,,"$429,000"
47,345 Bayshore Boulevard 1102,"1,240 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33606,,"$429,000"
48,6708 Dunes Lane,"3,044 sq. ft",Baths 2 baths,Beds 4 beds,Temple Terrace FL 33617,1 half bath,"$384,900"
49,4511 S Grady Avenue,"1,434 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,,"$359,800"
50,4511 S Grady Avenue,"1,434 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,,"$359,800"
51,5207 Bayshore Boulevard 16,"1,580 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33611,1 half bath,"$351,000"
52,8524 Bramwell Way,"2,141 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$329,500"
53,11227 Avery Oaks Drive,"2,182 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33625,,"$309,975"
54,11227 Avery Oaks Drive,"2,182 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33625,,"$309,975"
55,816 W Idlewild Avenue W,"1,084 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33604,,"$244,900"
56,816 W Idlewild Avenue W,"1,084 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33604,,"$244,900"
57,6727 Swain Avenue,"1,664 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33625,,"$239,990"
58,8309 Drycreek Drive,"1,558 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33615,,"$235,990"
59,4507 N Nebraska Avenue,"1,694 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33603,,"$235,000"
60,616 Wheaton Trent Place,"1,572 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33619,1 half bath,"$184,900"
61,2907 W Estrella ST,"2,444 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33629,1 half bath,"$679,900"
62,4112 Zelar St W,"1,166 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33629,,"$450,000"
63,9085 Quail Creek Dr.,"2,315 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,,"$314,900"
64,406 S Royal Poinciana Drive,"3,687 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33609,,"$995,000"
